Title,Date,Rating,Review
"Decent food, slow service",12-19-23,3,"The homemade pasta was decent enough, though nothing stood out. The crust was thin and traditional. The tomato sauce had a bright, fresh acidity while the generous portions of fresh mozzarella was just okay. Loved the open kitchen concept where you can see the chefs working. However, The server was very attentive and made sure our water glasses were never empty. Great value for the portion sizes we received."
Very good experience overall,04-15-24,4,"The calzone was very tasty. I particularly enjoyed how the crust was a bit too doughy in the center. The sauce was a bit bland and lacked seasoning and creamy buffalo mozzarella that melted beautifully were highlights. We had to flag down the waiter multiple times just to get the check. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Just a minor wait time kept it from being a full 5 stars."
Disappointing evening,02-18-24,2,"I had high hopes for the calzone, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was thin and traditional. The high-quality cheese that didn't feel greasy lacked flavor. We had to flag down the waiter multiple times just to get the check. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. The decor is simple but charming, giving it a real rustic feel."
Deeply disappointed,04-01-24,1,"This was honestly a disaster. The white truffle pizza arrived cold and the crust was thin and traditional. The rich and savory tomato base was off and the high-quality cheese that didn't feel greasy was poor quality. The staff was incredibly knowledgeable about the wine pairings. Great value for the portion sizes we received. The decor is simple but charming, giving it a real rustic feel. I cannot recommend this place to anyone."
Not sure I'll be back,12-08-23,3,"The garlic knots was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The tomato sauce had a bright, fresh acidity while the cheese was a bit rubbery was just okay. The ambiance is cozy and perfect for a date night. However, Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese."
My new weekly tradition,03-14-24,5,"The white truffle pizza was outstanding. The crust was a bit too doughy in the center, and the rich and savory tomato base. To top it off, the creamy buffalo mozzarella that melted beautifully. Service was a bit slow despite the restaurant not being full. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
My new weekly tradition,01-06-24,5,"The white truffle pizza was outstanding. The crust was thin and traditional, and the tomato sauce had a bright, fresh acidity. To top it off, the creamy buffalo mozzarella that melted beautifully. Service was a bit slow despite the restaurant not being full. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Disappointing evening,01-26-24,2,"I had high hopes for the calzone, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was thin and traditional. The cheese ratio was spot on lacked flavor. Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese. Loved the open kitchen concept where you can see the chefs working."
Deeply disappointed,02-16-24,1,This was honestly a disaster. The garlic knots arrived cold and the crust was a bit too doughy in the center. The sauce was a bit bland and lacked seasoning was off and the cheese ratio was spot on was poor quality. The server was very attentive and made sure our water glasses were never empty. The lunch special is an absolute steal for the quality you get. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone.
Absolute perfection!,01-29-24,5,"The veggie supreme was outstanding. The crust was thin and traditional, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the creamy buffalo mozzarella that melted beautifully. The staff was incredibly knowledgeable about the wine pairings. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Not worth the price,01-02-24,2,"I had high hopes for the homemade pasta, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was thin and traditional. The cheese ratio was spot on lacked flavor. We had to flag down the waiter multiple times just to get the check. The lunch special is an absolute steal for the quality you get. Loved the open kitchen concept where you can see the chefs working."
Will definitely return,12-18-23,4,"The calzone was very tasty. I particularly enjoyed how the crust was a bit too doughy in the center. The sauce was a bit bland and lacked seasoning and high-quality cheese that didn't feel greasy were highlights. The server was very attentive and made sure our water glasses were never empty. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Just a minor wait time kept it from being a full 5 stars."
Not worth the price,03-01-24,2,"I had high hopes for the veggie supreme, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was a bit too doughy in the center. The creamy buffalo mozzarella that melted beautifully lacked flavor. We had to flag down the waiter multiple times just to get the check. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. The decor is simple but charming, giving it a real rustic feel."
Terrible experience,02-17-24,1,This was honestly a disaster. The calzone arrived cold and the crust was thin and traditional. The rich and savory tomato base was off and the cheese was a bit rubbery was poor quality. The server was very attentive and made sure our water glasses were never empty. Great value for the portion sizes we received. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone.
Incredible quality and service,03-03-24,5,"The veggie supreme was outstanding. The crust was a bit too doughy in the center, and the sauce was a bit bland and lacked seasoning. To top it off, the generous portions of fresh mozzarella. We had to flag down the waiter multiple times just to get the check. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Underwhelming,02-25-24,2,"I had high hopes for the white truffle pizza, but it fell short. The rich and savory tomato base was disappointing and the crust was perfectly charred from the wood-fired oven. The cheese ratio was spot on lacked flavor. Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received. The ambiance is cozy and perfect for a date night."
My new weekly tradition,02-29-24,5,"The calzone was outstanding. The crust was perfectly charred from the wood-fired oven, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. We had to flag down the waiter multiple times just to get the check. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
"Decent food, slow service",02-09-24,3,"The white truffle pizza was decent enough, though nothing stood out. The crust was thin and traditional. The rich and savory tomato base while the cheese ratio was spot on was just okay. The decor is simple but charming, giving it a real rustic feel. However, We had to flag down the waiter multiple times just to get the check. The lunch special is an absolute steal for the quality you get."
"Decent food, slow service",04-22-24,3,"The calzone was decent enough, though nothing stood out. The crust was thin and traditional. The rich and savory tomato base while the cheese was a bit rubbery was just okay. Loved the open kitchen concept where you can see the chefs working. However, Service was a bit slow despite the restaurant not being full. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
Incredible quality and service,01-17-24,5,"The pepperoni pizza was outstanding. The crust was thin and traditional, and the rich and savory tomato base. To top it off, the cheese was a bit rubbery. The server was very attentive and made sure our water glasses were never empty. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Terrible experience,01-24-24,1,"This was honestly a disaster. The homemade pasta arrived cold and the crust was a bit too doughy in the center. The perfectly balanced sauce with hints of oregano and garlic was off and the cheese was a bit rubbery was poor quality. The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get. The decor is simple but charming, giving it a real rustic feel. I cannot recommend this place to anyone."
Incredible quality and service,12-30-23,5,"The calzone was outstanding. The crust was crispy on the bottom but airy and light, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese ratio was spot on. The manager personally checked on our table to ensure everything was to our liking. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
Better options elsewhere,04-27-24,2,"I had high hopes for the white truffle pizza, but it fell short. The sauce was a bit bland and lacked seasoning was disappointing and the crust was slightly chewy with a great sourdough flavor. The creamy buffalo mozzarella that melted beautifully lacked flavor. The manager personally checked on our table to ensure everything was to our liking. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. The ambiance is cozy and perfect for a date night."
"Great food, small wait",02-17-24,4,"The veggie supreme was very tasty. I particularly enjoyed how the crust was crispy on the bottom but airy and light. The sauce was a bit bland and lacked seasoning and generous portions of fresh mozzarella were highlights. Service was a bit slow despite the restaurant not being full. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Just a minor wait time kept it from being a full 5 stars."
Waste of money,02-29-24,1,"This was honestly a disaster. The homemade pasta arrived cold and the crust was slightly chewy with a great sourdough flavor. The tomato sauce had a bright, fresh acidity was off and the creamy buffalo mozzarella that melted beautifully was poor quality. The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone."
My new weekly tradition,04-29-24,5,"The veggie supreme was outstanding. The crust was perfectly charred from the wood-fired oven, and the rich and savory tomato base. To top it off, the cheese was a bit rubbery. The manager personally checked on our table to ensure everything was to our liking. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Deeply disappointed,03-22-24,1,This was honestly a disaster. The calzone arrived cold and the crust was perfectly charred from the wood-fired oven. The rich and savory tomato base was off and the generous portions of fresh mozzarella was poor quality. The staff was incredibly knowledgeable about the wine pairings. Great value for the portion sizes we received. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone.
Disappointing evening,12-25-23,2,"I had high hopes for the pepperoni pizza, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was a bit too doughy in the center. The high-quality cheese that didn't feel greasy lacked flavor. Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received. The ambiance is cozy and perfect for a date night."
Best meal in a long time,04-24-24,5,"The garlic knots was outstanding. The crust was slightly chewy with a great sourdough flavor, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese was a bit rubbery. The manager personally checked on our table to ensure everything was to our liking. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Best meal in a long time,02-08-24,5,"The white truffle pizza was outstanding. The crust was slightly chewy with a great sourdough flavor, and the rich and savory tomato base. To top it off, the generous portions of fresh mozzarella. We had to flag down the waiter multiple times just to get the check. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Really solid pizza,03-21-24,4,The pepperoni pizza was very tasty. I particularly enjoyed how the crust was a bit too doughy in the center. The perfectly balanced sauce with hints of oregano and garlic and generous portions of fresh mozzarella were highlights. The server was very attentive and made sure our water glasses were never empty. I felt it was a bit overpriced for what is essentially bread and cheese. Just a minor wait time kept it from being a full 5 stars.
"Great food, small wait",02-07-24,4,The homemade pasta was very tasty. I particularly enjoyed how the crust was perfectly charred from the wood-fired oven. The rich and savory tomato base and cheese ratio was spot on were highlights. Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese. Just a minor wait time kept it from being a full 5 stars.
Not worth the price,12-06-23,2,"I had high hopes for the calzone, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was slightly chewy with a great sourdough flavor. The cheese ratio was spot on lacked flavor. The staff was incredibly knowledgeable about the wine pairings. Great value for the portion sizes we received. It gets quite loud during the dinner rush, making conversation difficult."
Absolute perfection!,04-04-24,5,"The white truffle pizza was outstanding. The crust was slightly chewy with a great sourdough flavor, and the tomato sauce had a bright, fresh acidity. To top it off, the generous portions of fresh mozzarella. We had to flag down the waiter multiple times just to get the check. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Better options elsewhere,02-05-24,2,"I had high hopes for the veggie supreme, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was crispy on the bottom but airy and light. The creamy buffalo mozzarella that melted beautifully lacked flavor. Service was a bit slow despite the restaurant not being full. The lunch special is an absolute steal for the quality you get. The decor is simple but charming, giving it a real rustic feel."
Incredible quality and service,02-14-24,5,"The garlic knots was outstanding. The crust was perfectly charred from the wood-fired oven, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese was a bit rubbery. The manager personally checked on our table to ensure everything was to our liking. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
It was okay,04-21-24,3,"The calzone was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The perfectly balanced sauce with hints of oregano and garlic while the creamy buffalo mozzarella that melted beautifully was just okay. Loved the open kitchen concept where you can see the chefs working. However, Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese."
Best meal in a long time,02-21-24,5,"The pepperoni pizza was outstanding. The crust was a bit too doughy in the center, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese ratio was spot on. The staff was incredibly knowledgeable about the wine pairings. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Incredible quality and service,03-14-24,5,"The garlic knots was outstanding. The crust was perfectly charred from the wood-fired oven, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. Service was a bit slow despite the restaurant not being full. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Terrible experience,01-03-24,1,This was honestly a disaster. The pepperoni pizza arrived cold and the crust was perfectly charred from the wood-fired oven. The perfectly balanced sauce with hints of oregano and garlic was off and the generous portions of fresh mozzarella was poor quality. Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese. The ambiance is cozy and perfect for a date night. I cannot recommend this place to anyone.
Not sure I'll be back,04-12-24,3,"The calzone was decent enough, though nothing stood out. The crust was thin and traditional. The rich and savory tomato base while the creamy buffalo mozzarella that melted beautifully was just okay. The ambiance is cozy and perfect for a date night. However, Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received."
Best meal in a long time,03-20-24,5,"The white truffle pizza was outstanding. The crust was thin and traditional, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the high-quality cheese that didn't feel greasy. The manager personally checked on our table to ensure everything was to our liking. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Waste of money,03-25-24,1,"This was honestly a disaster. The white truffle pizza arrived cold and the crust was perfectly charred from the wood-fired oven. The perfectly balanced sauce with hints of oregano and garlic was off and the generous portions of fresh mozzarella was poor quality. The server was very attentive and made sure our water glasses were never empty. I felt it was a bit overpriced for what is essentially bread and cheese. The decor is simple but charming, giving it a real rustic feel. I cannot recommend this place to anyone."
Not sure I'll be back,01-08-24,3,"The garlic knots was decent enough, though nothing stood out. The crust was thin and traditional. The rich and savory tomato base while the generous portions of fresh mozzarella was just okay. The ambiance is cozy and perfect for a date night. However, The staff was incredibly knowledgeable about the wine pairings. I felt it was a bit overpriced for what is essentially bread and cheese."
Absolute perfection!,12-03-23,5,"The white truffle pizza was outstanding. The crust was crispy on the bottom but airy and light, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese ratio was spot on. Service was a bit slow despite the restaurant not being full. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Incredible quality and service,01-28-24,5,"The garlic knots was outstanding. The crust was slightly chewy with a great sourdough flavor, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. The manager personally checked on our table to ensure everything was to our liking. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
"Decent food, slow service",01-16-24,3,"The veggie supreme was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The rich and savory tomato base while the cheese was a bit rubbery was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get."
"Decent food, slow service",02-26-24,3,"The garlic knots was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The sauce was a bit bland and lacked seasoning while the cheese ratio was spot on was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, The server was very attentive and made sure our water glasses were never empty. Great value for the portion sizes we received."
"Decent food, slow service",04-25-24,3,"The homemade pasta was decent enough, though nothing stood out. The crust was thin and traditional. The sauce was a bit bland and lacked seasoning while the cheese was a bit rubbery was just okay. The decor is simple but charming, giving it a real rustic feel. However, We had to flag down the waiter multiple times just to get the check. Great value for the portion sizes we received."
Incredible quality and service,01-17-24,5,"The calzone was outstanding. The crust was thin and traditional, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese ratio was spot on. The staff was incredibly knowledgeable about the wine pairings. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Absolute perfection!,04-02-24,5,"The garlic knots was outstanding. The crust was slightly chewy with a great sourdough flavor, and the sauce was a bit bland and lacked seasoning. To top it off, the high-quality cheese that didn't feel greasy. We had to flag down the waiter multiple times just to get the check. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
My new weekly tradition,04-14-24,5,"The calzone was outstanding. The crust was crispy on the bottom but airy and light, and the tomato sauce had a bright, fresh acidity. To top it off, the high-quality cheese that didn't feel greasy. The staff was incredibly knowledgeable about the wine pairings. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Deeply disappointed,02-14-24,1,"This was honestly a disaster. The calzone arrived cold and the crust was slightly chewy with a great sourdough flavor. The tomato sauce had a bright, fresh acidity was off and the cheese ratio was spot on was poor quality. Service was a bit slow despite the restaurant not being full. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. It gets quite loud during the dinner rush, making conversation difficult. I cannot recommend this place to anyone."
Absolute perfection!,02-13-24,5,"The garlic knots was outstanding. The crust was a bit too doughy in the center, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. Service was a bit slow despite the restaurant not being full. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
Avoid this place,03-25-24,1,This was honestly a disaster. The homemade pasta arrived cold and the crust was a bit too doughy in the center. The rich and savory tomato base was off and the high-quality cheese that didn't feel greasy was poor quality. We had to flag down the waiter multiple times just to get the check. I felt it was a bit overpriced for what is essentially bread and cheese. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone.
Incredible quality and service,04-28-24,5,"The white truffle pizza was outstanding. The crust was crispy on the bottom but airy and light, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. The manager personally checked on our table to ensure everything was to our liking. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
Absolute perfection!,01-22-24,5,"The homemade pasta was outstanding. The crust was a bit too doughy in the center, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese ratio was spot on. The server was very attentive and made sure our water glasses were never empty. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Underwhelming,12-26-23,2,"I had high hopes for the white truffle pizza, but it fell short. The sauce was a bit bland and lacked seasoning was disappointing and the crust was thin and traditional. The generous portions of fresh mozzarella lacked flavor. Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese. It gets quite loud during the dinner rush, making conversation difficult."
My new weekly tradition,02-02-24,5,"The margherita pizza was outstanding. The crust was a bit too doughy in the center, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese was a bit rubbery. The server was very attentive and made sure our water glasses were never empty. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
"Decent food, slow service",12-18-23,3,"The veggie supreme was decent enough, though nothing stood out. The crust was perfectly charred from the wood-fired oven. The tomato sauce had a bright, fresh acidity while the creamy buffalo mozzarella that melted beautifully was just okay. The ambiance is cozy and perfect for a date night. However, The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get."
Incredible quality and service,12-15-23,5,"The calzone was outstanding. The crust was a bit too doughy in the center, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese ratio was spot on. The server was very attentive and made sure our water glasses were never empty. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Absolute perfection!,01-16-24,5,"The white truffle pizza was outstanding. The crust was a bit too doughy in the center, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the generous portions of fresh mozzarella. The staff was incredibly knowledgeable about the wine pairings. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Disappointing evening,12-26-23,2,"I had high hopes for the homemade pasta, but it fell short. The perfectly balanced sauce with hints of oregano and garlic was disappointing and the crust was slightly chewy with a great sourdough flavor. The generous portions of fresh mozzarella lacked flavor. Service was a bit slow despite the restaurant not being full. The lunch special is an absolute steal for the quality you get. The ambiance is cozy and perfect for a date night."
Average at best,02-09-24,3,"The veggie supreme was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The rich and savory tomato base while the creamy buffalo mozzarella that melted beautifully was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get."
Terrible experience,02-03-24,1,"This was honestly a disaster. The margherita pizza arrived cold and the crust was perfectly charred from the wood-fired oven. The sauce was a bit bland and lacked seasoning was off and the cheese ratio was spot on was poor quality. The staff was incredibly knowledgeable about the wine pairings. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. It gets quite loud during the dinner rush, making conversation difficult. I cannot recommend this place to anyone."
Incredible quality and service,02-04-24,5,"The calzone was outstanding. The crust was slightly chewy with a great sourdough flavor, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese was a bit rubbery. The server was very attentive and made sure our water glasses were never empty. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Not sure I'll be back,12-15-23,3,"The veggie supreme was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The perfectly balanced sauce with hints of oregano and garlic while the cheese ratio was spot on was just okay. Loved the open kitchen concept where you can see the chefs working. However, The server was very attentive and made sure our water glasses were never empty. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
Disappointing evening,02-22-24,2,"I had high hopes for the veggie supreme, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was slightly chewy with a great sourdough flavor. The cheese ratio was spot on lacked flavor. The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get. Loved the open kitchen concept where you can see the chefs working."
Deeply disappointed,04-18-24,1,"This was honestly a disaster. The veggie supreme arrived cold and the crust was a bit too doughy in the center. The tomato sauce had a bright, fresh acidity was off and the generous portions of fresh mozzarella was poor quality. Service was a bit slow despite the restaurant not being full. Great value for the portion sizes we received. It gets quite loud during the dinner rush, making conversation difficult. I cannot recommend this place to anyone."
"Decent food, slow service",04-10-24,3,"The calzone was decent enough, though nothing stood out. The crust was thin and traditional. The tomato sauce had a bright, fresh acidity while the cheese ratio was spot on was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, The manager personally checked on our table to ensure everything was to our liking. I felt it was a bit overpriced for what is essentially bread and cheese."
It was okay,02-24-24,3,"The margherita pizza was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The tomato sauce had a bright, fresh acidity while the generous portions of fresh mozzarella was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, The staff was incredibly knowledgeable about the wine pairings. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it."
Incredible quality and service,12-07-23,5,"The pepperoni pizza was outstanding. The crust was slightly chewy with a great sourdough flavor, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the high-quality cheese that didn't feel greasy. The manager personally checked on our table to ensure everything was to our liking. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Underwhelming,04-05-24,2,"I had high hopes for the homemade pasta, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was perfectly charred from the wood-fired oven. The creamy buffalo mozzarella that melted beautifully lacked flavor. The staff was incredibly knowledgeable about the wine pairings. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. It gets quite loud during the dinner rush, making conversation difficult."
Absolute perfection!,03-06-24,5,"The margherita pizza was outstanding. The crust was perfectly charred from the wood-fired oven, and the rich and savory tomato base. To top it off, the generous portions of fresh mozzarella. We had to flag down the waiter multiple times just to get the check. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Disappointing evening,03-11-24,2,"I had high hopes for the white truffle pizza, but it fell short. The sauce was a bit bland and lacked seasoning was disappointing and the crust was slightly chewy with a great sourdough flavor. The cheese ratio was spot on lacked flavor. The manager personally checked on our table to ensure everything was to our liking. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. The decor is simple but charming, giving it a real rustic feel."
It was okay,03-09-24,3,"The calzone was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The sauce was a bit bland and lacked seasoning while the cheese ratio was spot on was just okay. Loved the open kitchen concept where you can see the chefs working. However, The server was very attentive and made sure our water glasses were never empty. Great value for the portion sizes we received."
Underwhelming,04-20-24,2,"I had high hopes for the homemade pasta, but it fell short. The sauce was a bit bland and lacked seasoning was disappointing and the crust was thin and traditional. The cheese was a bit rubbery lacked flavor. The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get. Loved the open kitchen concept where you can see the chefs working."
It was okay,03-11-24,3,"The garlic knots was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The tomato sauce had a bright, fresh acidity while the high-quality cheese that didn't feel greasy was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese."
Absolute perfection!,04-20-24,5,"The white truffle pizza was outstanding. The crust was perfectly charred from the wood-fired oven, and the rich and savory tomato base. To top it off, the creamy buffalo mozzarella that melted beautifully. The manager personally checked on our table to ensure everything was to our liking. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
Absolute perfection!,12-18-23,5,"The pepperoni pizza was outstanding. The crust was crispy on the bottom but airy and light, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese ratio was spot on. The server was very attentive and made sure our water glasses were never empty. It gets quite loud during the dinner rush, making conversation difficult. Definitely worth every penny."
Not sure I'll be back,12-11-23,3,"The pepperoni pizza was decent enough, though nothing stood out. The crust was perfectly charred from the wood-fired oven. The rich and savory tomato base while the cheese was a bit rubbery was just okay. The decor is simple but charming, giving it a real rustic feel. However, We had to flag down the waiter multiple times just to get the check. The lunch special is an absolute steal for the quality you get."
Not sure I'll be back,04-13-24,3,"The homemade pasta was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The sauce was a bit bland and lacked seasoning while the generous portions of fresh mozzarella was just okay. Loved the open kitchen concept where you can see the chefs working. However, The manager personally checked on our table to ensure everything was to our liking. I felt it was a bit overpriced for what is essentially bread and cheese."
Average at best,12-24-23,3,"The calzone was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The rich and savory tomato base while the generous portions of fresh mozzarella was just okay. The decor is simple but charming, giving it a real rustic feel. However, The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get."
Very good experience overall,01-17-24,4,The calzone was very tasty. I particularly enjoyed how the crust was slightly chewy with a great sourdough flavor. The sauce was a bit bland and lacked seasoning and cheese ratio was spot on were highlights. The staff was incredibly knowledgeable about the wine pairings. I felt it was a bit overpriced for what is essentially bread and cheese. Just a minor wait time kept it from being a full 5 stars.
Terrible experience,12-19-23,1,"This was honestly a disaster. The white truffle pizza arrived cold and the crust was a bit too doughy in the center. The tomato sauce had a bright, fresh acidity was off and the creamy buffalo mozzarella that melted beautifully was poor quality. The manager personally checked on our table to ensure everything was to our liking. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone."
Absolute perfection!,12-08-23,5,"The homemade pasta was outstanding. The crust was thin and traditional, and the tomato sauce had a bright, fresh acidity. To top it off, the generous portions of fresh mozzarella. The server was very attentive and made sure our water glasses were never empty. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Absolute perfection!,01-07-24,5,"The white truffle pizza was outstanding. The crust was thin and traditional, and the sauce was a bit bland and lacked seasoning. To top it off, the high-quality cheese that didn't feel greasy. The manager personally checked on our table to ensure everything was to our liking. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Very good experience overall,12-31-23,4,The pepperoni pizza was very tasty. I particularly enjoyed how the crust was a bit too doughy in the center. The rich and savory tomato base and generous portions of fresh mozzarella were highlights. The staff was incredibly knowledgeable about the wine pairings. I felt it was a bit overpriced for what is essentially bread and cheese. Just a minor wait time kept it from being a full 5 stars.
Will definitely return,04-11-24,4,The veggie supreme was very tasty. I particularly enjoyed how the crust was perfectly charred from the wood-fired oven. The perfectly balanced sauce with hints of oregano and garlic and creamy buffalo mozzarella that melted beautifully were highlights. The manager personally checked on our table to ensure everything was to our liking. Great value for the portion sizes we received. Just a minor wait time kept it from being a full 5 stars.
"Decent food, slow service",02-18-24,3,"The pepperoni pizza was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The tomato sauce had a bright, fresh acidity while the high-quality cheese that didn't feel greasy was just okay. Loved the open kitchen concept where you can see the chefs working. However, The server was very attentive and made sure our water glasses were never empty. The lunch special is an absolute steal for the quality you get."
Best meal in a long time,03-03-24,5,"The calzone was outstanding. The crust was thin and traditional, and the tomato sauce had a bright, fresh acidity. To top it off, the generous portions of fresh mozzarella. The staff was incredibly knowledgeable about the wine pairings. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
